"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "JSON", "XML", "TypeScript JSX", "SCSS", "PostCSS", "YAML", "comment", "blank", "total"
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/guest-layout/footer/FooterGuest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/guest-layout/header/HeaderGuest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/logo/Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/menu/Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 6, 10, 71
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/menu/MenuItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/menu/menu-item.interface.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/menu/menu.data.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/menu/menu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/accordion/Accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/accordion/style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/buttons/Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/buttons/FavoriteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 3, 32
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/buttons/GoBackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/buttons/button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 9, 66
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/checkbox/Checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 6, 68
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/fields/Field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 2, 6, 93
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/components/ui/fields/Textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/config/menu-data.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/config/pages-url.config.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 6, 23
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/constants/color.constants.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/constants/seo.constants.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useDeleteQuiz.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useFavorite.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 7, 49
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useProfile.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useProfilePageData.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 2, 17
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useUserFavoriteQuizzes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/hooks/useUserQuizzes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/middleware.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 8, 38
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/services/auth-token.service.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 3, 22
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/services/auth.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 11, 47
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/services/quiz.service.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 9, 50
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/services/user.service.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 6, 43
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/types/auth.types.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/types/quiz.types.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/types/token.types.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/types/user.types.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/src/utils/translate-error.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 1, 33
"/home/sqtione/Study/QuizeeRoom/quizzy-room-frontend/tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 23, 414, 4, 63, 21, 1203, 127, 131, 1570, 65, 708, 4356
